beverage_category,commodity_desc,sku_count
Carbonated Soft Drinks,SOFT DRINKS,1704
Carbonated Soft Drinks,WATER - CARBONATED/FLVRD DRINK,435
Coffee,COFFEE,604
Energy/Sports Drinks,ISOTONIC DRINKS,240
Juice,CANNED JUICES,649
Juice,REFRGRATD JUICES/DRNKS,394
Juice,JUICE,115
Other Beverages,COCOA MIXES,132
Other Beverages,NON-DAIRY BEVERAGES,78
Other Beverages,BEVERAGE,55
Other Beverages,SERVICE BEVERAGE,34
Other Beverages,NDAIRY/TEAS/JUICE/SOD,2
Tea,TEAS,331
Tea,DRY TEA/COFFEE/COCO MIX,63
Water,WATER,74
